Dataset,MAPE,MAE,RMSE
ISE/lab2/datasets/z3/LRA_formula_277.smt2.csv,0.1072,0.3162,0.3227
ISE/lab2/datasets/z3/QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0531,0.7487,0.8735
ISE/lab2/datasets/z3/QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.132,0.9231,1.1371
ISE/lab2/datasets/z3/QF_AUFBV_891_sqlite3.smt2.csv,6.6287,9.9978,12.9251
ISE/lab2/datasets/z3/QF_UFLIA_xs_23_43.smt2.csv,0.3516,7.8524,9.7547
ISE/lab2/datasets/z3/QF_UF_PEQ018_size6.smt2.csv,9.3572,158.0793,205.4044
ISE/lab2/datasets/z3/QF_BV_bench_3176.smt2.csv,10.9911,131.247,149.8858
ISE/lab2/datasets/z3/QF_RDL_orb08_888.smt2.csv,0.0276,0.2596,0.33
ISE/lab2/datasets/z3/QF_BV_bench_935.smt2.csv,19.3987,93.1733,96.954
ISE/lab2/datasets/z3/QF_LIA_tightrhombus.csv,0.7382,0.5816,0.7986
ISE/lab2/datasets/z3/QF_NRA_hong_9.smt2.csv,0.0019,0.0082,0.0143
ISE/lab2/datasets/z3/AUFNIRA_z3.637557.smt2.csv,8.2402,89.838,101.6015
ISE/lab2/datasets/kanzi/large.csv,1.3992,4.4162,7.0049
ISE/lab2/datasets/kanzi/deepfield.csv,16.7497,18.7016,29.1183
ISE/lab2/datasets/kanzi/vmlinux.csv,27.822,162.1612,218.991
ISE/lab2/datasets/kanzi/misc.csv,0.4584,0.407,0.6258
ISE/lab2/datasets/kanzi/ambivert.csv,1.3592,16.9793,27.807
ISE/lab2/datasets/kanzi/artificl.csv,0.4627,0.1959,0.291
ISE/lab2/datasets/kanzi/silesia.csv,2.8961,82.7037,131.3769
ISE/lab2/datasets/kanzi/fannie_mae_500k.csv,3.9922,34.9317,54.7127
ISE/lab2/datasets/kanzi/enwik8.csv,2.6168,39.7059,63.1447
ISE/lab2/datasets/h2/tpcc-8.csv,0.2175,112.2701,167.019
ISE/lab2/datasets/h2/voter-2.csv,0.0791,2500.0232,2775.0879
ISE/lab2/datasets/h2/ycsb-2400.csv,0.0901,1260.8031,1541.3922
ISE/lab2/datasets/h2/smallbank-10.csv,0.0453,619.1248,749.7111
ISE/lab2/datasets/h2/voter-16.csv,0.0754,2378.4468,2637.6775
ISE/lab2/datasets/h2/tpcc-2.csv,0.0411,30.0361,37.0117
ISE/lab2/datasets/h2/ycsb-600.csv,0.084,1673.0554,2069.9217
ISE/lab2/datasets/h2/smallbank-1.csv,0.057,1117.4854,1329.4662
ISE/lab2/datasets/xz/deepfield.tar.csv,0.6792,5.6905,7.6994
ISE/lab2/datasets/xz/vmlinux-5.10.tar.csv,0.3092,1.9314,2.3611
ISE/lab2/datasets/xz/artificl.tar.csv,0.281,0.0064,0.0075
ISE/lab2/datasets/xz/large.tar.csv,0.4445,1.9135,2.3645
ISE/lab2/datasets/xz/misc.tar.csv,0.2298,0.0911,0.1194
ISE/lab2/datasets/xz/uiq2-4.bin.csv,0.6816,4.4913,5.9661
