Dataset,MAPE,MAE,RMSE
LRA_formula_277.smt2.csv,0.1072,0.3162,0.3227
QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0531,0.7487,0.8735
QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.132,0.9231,1.1371
QF_AUFBV_891_sqlite3.smt2.csv,0.5913,0.2702,0.4235
QF_UFLIA_xs_23_43.smt2.csv,0.07,0.2072,0.2412
QF_UF_PEQ018_size6.smt2.csv,0.2117,0.6222,0.732
QF_BV_bench_3176.smt2.csv,0.3881,1.0739,1.1133
QF_RDL_orb08_888.smt2.csv,0.0276,0.2596,0.33
QF_BV_bench_935.smt2.csv,0.6069,1.1406,1.2208
QF_LIA_tightrhombus.csv,0.7382,0.5816,0.7986
QF_NRA_hong_9.smt2.csv,0.0019,0.0082,0.0143
AUFNIRA_z3.637557.smt2.csv,0.2648,0.6717,0.8003
large.csv,0.3365,0.4233,0.5753
deepfield.csv,1.1781,0.8486,1.0818
vmlinux.csv,0.532,0.9919,1.2317
misc.csv,0.2689,0.1557,0.2194
ambivert.csv,0.2763,0.5717,0.7375
artificl.csv,0.3319,0.1132,0.1599
silesia.csv,0.2366,0.7263,0.9429
fannie_mae_500k.csv,0.3726,0.7838,1.0126
enwik8.csv,0.2846,0.6923,0.8899
tpcc-8.csv,0.2175,112.2701,167.019
voter-2.csv,0.0791,2500.0232,2775.0879
ycsb-2400.csv,0.009,0.0858,0.1036
smallbank-10.csv,0.0453,619.1248,749.7111
voter-16.csv,0.0754,2378.4468,2637.6775
tpcc-2.csv,0.0411,30.0361,37.0117
ycsb-600.csv,0.084,1673.0554,2069.9217
smallbank-1.csv,0.057,1117.4854,1329.4662
deepfield.tar.csv,0.1073,0.2426,0.3068
vmlinux-5.10.tar.csv,0.0816,0.1602,0.2009
artificl.tar.csv,0.281,0.0064,0.0075
large.tar.csv,0.1192,0.1967,0.2491
misc.tar.csv,0.1606,0.0533,0.0694
uiq2-4.bin.csv,0.1237,0.2485,0.3122
ambivert.wav.tar.csv,0.1451,0.3437,0.4313
enwik8.tar.csv,0.1151,0.4135,0.5185
uiq2-8.bin.csv,0.1111,0.2992,0.3811
fannie_mae_500k.tar.csv,0.089,0.3147,0.3805
uiq-32.bin.csv,0.0862,0.3534,0.4496
uiq2-16.bin.csv,0.1009,0.343,0.4324
silesia.tar.csv,0.0749,0.317,0.3922
beethoven.wav.csv,0.2548,2.2331,2.8879
dual-channel.wav.csv,0.2323,0.599,0.815
sweep.wav.csv,0.1181,0.0685,0.0864
single-channel.wav.csv,0.1873,0.3225,0.4249
speech.wav.csv,0.1937,0.7997,1.0038
helix.wav.csv,0.0982,0.1565,0.2011
deepfield.tar.csv,0.2407,0.56,0.8222
vmlinux-5.10.tar.csv,0.217,0.4143,0.5893
artificl.tar.csv,11.6825,1.1994,1.3931
large.tar.csv,0.3806,0.4454,0.5691
misc.tar.csv,2.3142,1.2334,1.4703
uiq2-4.bin.csv,0.273,0.5117,0.7356
ambivert.wav.tar.csv,0.2381,0.5589,0.8295
enwik8.tar.csv,0.1715,0.5127,0.7341
uiq2-8.bin.csv,0.2401,0.5768,0.823
fannie_mae_500k.tar.csv,0.028,0.1069,0.1603
uiq-32.bin.csv,0.2032,0.6852,0.9515
uiq2-16.bin.csv,0.2271,0.645,0.9044
silesia.tar.csv,0.163,0.5492,0.7818
strawberry.csv,0.0585,0.0981,0.131
corona.csv,0.0722,0.0636,0.0859
village.csv,0.1361,0.1909,0.27
jelly.csv,0.0823,0.0867,0.1166
cubus.csv,0.0394,0.2416,0.3341
flame.csv,0.0331,0.059,0.0771
france.csv,0.0234,0.0359,0.046
cranium.csv,0.0221,0.0247,0.0331
mandelbrot.csv,0.048,0.0632,0.0853
karte.csv,0.1476,1.4744,1.8749
frisco.csv,0.054,0.2562,0.3293
svg-small.csv,0.0359,0.0202,0.0256
svg-large.csv,0.0136,0.0125,0.0158
png-medium.csv,0.0354,0.023,0.0294
jpeg-medium.csv,0.0494,0.0493,0.0652
psd-medium.csv,0.0321,0.0268,0.035
svg-medium.csv,0.017,0.0262,0.033
png-large.csv,0.0417,0.0501,0.0635
psd-small.csv,0.0352,0.0197,0.0243
psd-large.csv,0.0144,0.542,0.8926
png-small.csv,0.0337,0.0151,0.0196
jpeg-small.csv,0.0348,0.0149,0.019
jpeg-large.csv,0.0487,0.0679,0.0888
Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7638,8.9118,11.3605
sd_city_4cif_short.y4m.csv,0.1155,0.1258,0.1658
riverbed_1080p25_short.y4m.csv,0.6354,6.7731,8.9511
blue_sky_1080p25_short.y4m.csv,0.7617,3.2044,4.0826
sd_crew_cif_short.y4m.csv,0.6116,0.2505,0.3214
sd_bridge_close_cif_short.y4m.csv,0.5142,0.1437,0.1826
sintel_trailer_2k_720p24_short.y4m.csv,0.5001,0.3806,0.4773
pedestrian_area_1080p25_short.y4m.csv,0.696,3.6462,4.6701
Johnny_1280x720_60_short.y4m.csv,0.0972,0.1411,0.1814
